O*NET-SOC Code,Element Name,Scale ID,Data Value,OCC_CODE,LV
11-9131.00,Time Management,IM,4,11-9131,3.88
11-9131.00,Management of Personnel Resources,IM,3.88,11-9131,3.5
11-9131.00,Critical Thinking,IM,3.75,11-9131,3.88
11-9131.00,Monitoring,IM,3.75,11-9131,3.62
11-9131.00,Negotiation,IM,3.62,11-9131,3.25
11-9141.00,Speaking,IM,4,11-9141,4
11-9141.00,Reading Comprehension,IM,3.88,11-9141,4
11-9141.00,Active Listening,IM,3.75,11-9141,4
11-9141.00,Coordination,IM,3.62,11-9141,3.75
11-9141.00,Writing,IM,3.62,11-9141,4
11-9141.00,Critical Thinking,IM,3.5,11-9141,3.88
11-9141.00,Negotiation,IM,3.5,11-9141,3.75
11-9141.00,Persuasion,IM,3.25,11-9141,3.5
11-9141.00,Social Perceptiveness,IM,3.25,11-9141,3.38
11-9141.00,Complex Problem Solving,IM,3.12,11-9141,3.12
11-9151.00,Service Orientation,IM,4,11-9151,4
11-9151.00,Social Perceptiveness,IM,4,11-9151,4.62
11-9151.00,Active Learning,IM,3.88,11-9151,3.88
11-9151.00,Active Listening,IM,3.88,11-9151,4.25
11-9151.00,Complex Problem Solving,IM,3.88,11-9151,4.12
11-9151.00,Coordination,IM,3.88,11-9151,4
11-9151.00,Critical Thinking,IM,3.88,11-9151,4.12
11-9151.00,Judgment and Decision Making,IM,3.88,11-9151,4.12
11-9151.00,Management of Personnel Resources,IM,3.88,11-9151,4.38
11-9151.00,Monitoring,IM,3.88,11-9151,4
11-9161.00,Service Orientation,IM,4.25,11-9161,5.25
11-9161.00,Complex Problem Solving,IM,4.12,11-9161,5.38
11-9161.00,Speaking,IM,4.12,11-9161,4.25
11-9161.00,Active Listening,IM,4,11-9161,4.12
11-9161.00,Coordination,IM,4,11-9161,5
11-9161.00,Critical Thinking,IM,4,11-9161,4.38
11-9161.00,Judgment and Decision Making,IM,4,11-9161,4.25
11-9161.00,Monitoring,IM,4,11-9161,4.62
11-9161.00,Reading Comprehension,IM,4,11-9161,4.12
11-9161.00,Social Perceptiveness,IM,4,11-9161,4.12
11-9171.00,Service Orientation,IM,4,11-9171,4
11-9171.00,Active Listening,IM,3.88,11-9171,3.88
11-9171.00,Social Perceptiveness,IM,3.88,11-9171,3.75
11-9171.00,Reading Comprehension,IM,3.62,11-9171,3.88
11-9171.00,Time Management,IM,3.62,11-9171,3.62
11-9171.00,Critical Thinking,IM,3.5,11-9171,3.62
11-9171.00,Judgment and Decision Making,IM,3.5,11-9171,3.12
11-9171.00,Management of Personnel Resources,IM,3.5,11-9171,3.5
11-9171.00,Speaking,IM,3.5,11-9171,3.75
11-9171.00,Coordination,IM,3.38,11-9171,3.5
11-9179.01,Speaking,IM,3.88,11-9179,4
11-9179.01,Active Listening,IM,3.75,11-9179,3.62
11-9179.01,Coordination,IM,3.75,11-9179,3.62
11-9179.01,Service Orientation,IM,3.75,11-9179,3.5
11-9179.01,Social Perceptiveness,IM,3.75,11-9179,3.75
11-9179.01,Critical Thinking,IM,3.62,11-9179,3.75
11-9179.01,Reading Comprehension,IM,3.62,11-9179,3.88
11-9179.01,Management of Personnel Resources,IM,3.5,11-9179,3.38
11-9179.01,Writing,IM,3.5,11-9179,3.62
11-9179.01,Active Learning,IM,3.38,11-9179,3.5
11-9179.02,Coordination,IM,4,11-9179,4
11-9179.02,Monitoring,IM,4,11-9179,4.12
11-9179.02,Speaking,IM,4,11-9179,4
11-9179.02,Critical Thinking,IM,3.88,11-9179,4
11-9179.02,Management of Personnel Resources,IM,3.88,11-9179,3.88
11-9179.02,Service Orientation,IM,3.88,11-9179,3.62
11-9179.02,Social Perceptiveness,IM,3.88,11-9179,4
11-9179.02,Active Listening,IM,3.75,11-9179,3.5
11-9179.02,Judgment and Decision Making,IM,3.75,11-9179,3.25
11-9179.02,Persuasion,IM,3.75,11-9179,3.75
11-9199.01,Writing,IM,4.25,11-9199,4.12
11-9199.01,Reading Comprehension,IM,4.12,11-9199,4.12
11-9199.01,Active Listening,IM,4,11-9199,4
11-9199.01,Speaking,IM,4,11-9199,4.12
11-9199.01,Critical Thinking,IM,3.88,11-9199,4
11-9199.01,Complex Problem Solving,IM,3.75,11-9199,3.25
11-9199.01,Judgment and Decision Making,IM,3.75,11-9199,4
11-9199.01,Systems Analysis,IM,3.75,11-9199,3.88
11-9199.01,Systems Evaluation,IM,3.75,11-9199,3.75
11-9199.01,Monitoring,IM,3.62,11-9199,4.12
11-9199.02,Critical Thinking,IM,4,11-9199,4.25
11-9199.02,Reading Comprehension,IM,4,11-9199,4.12
11-9199.02,Active Listening,IM,3.88,11-9199,4.12
11-9199.02,Speaking,IM,3.88,11-9199,4.12
11-9199.02,Writing,IM,3.88,11-9199,4.12
11-9199.02,Active Learning,IM,3.75,11-9199,3.88
11-9199.02,Coordination,IM,3.75,11-9199,3.75
11-9199.02,Monitoring,IM,3.75,11-9199,4.62
11-9199.02,Persuasion,IM,3.62,11-9199,3.75
11-9199.02,Judgment and Decision Making,IM,3.5,11-9199,3.88
11-9199.08,Active Listening,IM,4,11-9199,4
11-9199.08,Reading Comprehension,IM,4,11-9199,4
11-9199.08,Speaking,IM,4,11-9199,4
11-9199.08,Complex Problem Solving,IM,3.88,11-9199,3.88
11-9199.08,Critical Thinking,IM,3.88,11-9199,4
