business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.ByAppointmentOnly,attributes.BusinessAcceptsCreditCards,attributes.BikeParking,attributes.RestaurantsPriceRange2,attributes.CoatCheck,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.Caters,attributes.WiFi,attributes.BusinessParking,attributes.WheelchairAccessible,attributes.HappyHour,attributes.OutdoorSeating,attributes.HasTV,attributes.RestaurantsReservations,attributes.DogsAllowed,attributes.Alcohol,attributes.GoodForKids,attributes.RestaurantsAttire,attributes.Ambience,attributes.RestaurantsTableService,attributes.RestaurantsGoodForGroups,attributes.DriveThru,attributes.NoiseLevel,attributes.GoodForMeal,attributes.BusinessAcceptsBitcoin,attributes.Smoking,attributes.Music,attributes.GoodForDancing,attributes.AcceptsInsurance,attributes.BestNights,attributes.BYOB,attributes.Corkage,attributes.BYOBCorkage,attributes.HairSpecializesIn,attributes.Open24Hours,attributes.RestaurantsCounterService,attributes.AgesAllowed,attributes.DietaryRestrictions,hours.Monday,hours.Tuesday,hours.Wednesday,hours.Thursday,hours.Friday,hours.Saturday,hours.Sunday
YhFd_8UtM_89Vb8GIMZgxQ,Sports Authority,8340 Eager Rd,St. Louis,MO,63144,38.6284029133,-90.3365302092,3,9,0,"Outdoor Gear, Shoe Stores, Sports Wear, Shopping, Sporting Goods, Fashion",,True,True,2,,,,,,"{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,9:0-21:30,10:0-20:0
SXpqt6frxtAy07C7EFb8bg,Build-A-Bear Workshop,1444 St Louis Galleria St,St. Louis,MO,63117,38.6352083,-90.3484457,4,6,1,"Shopping, Toy Stores, Active Life, Kids Activities",,True,False,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-18:0
hk65swoBSuzq6ITMXkB1aw,Simply Clean Laundry Service,10420 Liberty Ave,St. Louis,MO,63132,38.6902094,-90.3900834,5,9,1,"Dry Cleaning & Laundry, Shopping, Professional Services, Baby Gear & Furniture, Fashion, Children's Clothing, Local Services, Laundry Services, Laundromat",,True,True,2,,,,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,7:0-16:0,,
1cLhfVUILUQ9u6C9XtwcNg,Sophie's Artist Lounge,"3333 Washington Ave, Ste 102",St. Louis,MO,63103,38.6382623,-90.2273243,5,12,1,"Lounges, Bars, Nightlife, Arts & Entertainment, Art Galleries, Shopping, Cocktail Bars",False,True,True,2,False,,,,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,False,False,True,False,u'full_bar',,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",,,,,,False,u'outdoor',"{u'dj': None, u'live': True, u'jukebox': False, u'video': False, u'background_music': False, u'karaoke': None, u'no_music': False}",,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",,,,,,,,,0:0-0:0,,17:0-1:30,16:0-1:30,16:0-1:30,16:0-1:30,
UGdSvv05fDXU6yvWPddIMQ,Aptive Environmental,10747 Indian Head Industrial Blvd,St. Louis,MO,63132,38.6897799,-90.3975364,2.5,51,1,"Pest Control, Wildlife Control, Local Services",False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,9:0-19:0,9:0-17:0
rhTZnurJL8FXjbK6kKbOSA,Frontenac Salon & Spa,12085 Manchester Rd,St. Louis,MO,63131,38.6026425976,-90.4369354,2.5,6,1,"Hair Salons, Beauty & Spas",True,True,,3,,,,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,,,,,,,,,,,,,,,,,,,"{'straightperms': False, 'coloring': False, 'extensions': False, 'africanamerican': False, 'curly': True, 'kids': False, 'perms': False, 'asian': False}",,,,,,,9:0-17:0,11:0-19:0,9:0-17:0,9:0-15:0,
eMIHEhW7ijMSFox5F0JeBw,AZAR Automotive,1620 N And South Rd,St. Louis,MO,63130,38.6832376,-90.3353664,4.5,10,1,"Automotive, Auto Repair, Oil Change Stations, Auto Detailing, Tires",,True,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,,
5p27FvnOgrDs-i6dHccC0g,Clementine's Naughty and Nice Creamery,4715 Macklind Ave,St. Louis,MO,63109,38.5863918,-90.2845434844,4.5,66,1,"Ice Cream & Frozen Yogurt, Food",,True,True,2,,True,True,True,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,,,,,True,,,,,,,,u'average',,,,,,,,,,,,,,,,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-21:0
biiDwA_7casFdD9thqtikA,Planned Parenthood - South Grand Health Center,3401 S Grand,St. Louis,MO,63118,38.5958747,-90.2436103,3,6,1,"Education, Educational Services, Obstetricians & Gynecologists, Reproductive Health Services, Doctors, Medical Centers, Health & Medical",False,True,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,0:0-0:0,9:0-17:0,9:0-17:0,11:0-19:0,8:0-16:0,,
Owo5es5l2zcGq9e9T1sgIg,Rockwell Beer Company,1320 S Vandeventer Ave,St. Louis,MO,63110,38.6254323,-90.2512859,4.5,187,1,"Food, Breweries",False,True,True,2,,True,False,False,,"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,True,,,,True,,True,,,,,True,u'average',,False,,,,,,,,,,,,,,0:0-0:0,11:0-22:0,11:0-22:0,11:0-0:0,11:0-19:0,11:0-0:0,11:0-22:0
weLtbaeYy4zDsngoHmTU8Q,7 Star Auto Glass | St. Louis,7557 Hall St,St. Louis,MO,63147,38.7039221341,-90.2244804376,4,5,1,"Windshield Installation & Repair, Auto Glass Services, Automotive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8:30-17:30,8:30-17:30,8:30-17:30,8:30-17:30,8:30-17:30,8:30-17:30,9:0-17:30
gEJ3a8-m6VB827e6GHromw,Sauce on the Side,4261 Manchester Ave,St. Louis,MO,63110,38.6271043879,-90.2566847205,4.5,232,1,"Bars, Salad, Restaurants, Nightlife, Beer Bar, Italian",,True,True,2,False,True,True,True,'free',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",True,True,True,True,False,False,u'beer_and_wine',True,'casual',"{u'divey': False, u'hipster': True, u'casual': True, u'touristy': False, u'trendy': True, u'intimate': False, u'romantic': False, u'classy': False, u'upscale': False}",True,True,,u'average',"{u'breakfast': False, u'brunch': False, u'lunch': True, u'dinner': True, u'latenight': False, u'dessert': None}",False,u'no',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}",False,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True}",,,,,,,,,0:0-0:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-15:0,11:0-22:0,12:0-20:0
ajRkfLE33OIwKj-LUFULQg,Accent Chiropractic,13470 Clayton Rd,St. Louis,MO,63131,38.6266138,-90.4822929,5,5,1,"Chiropractors, Health & Medical, Acupuncture, Massage Therapy",True,True,,,,,,,u'no',,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,12:0-19:0,12:0-17:0,8:0-19:0,10:0-19:0,9:0-11:0,10:0-13:0,
muYqsK0bqwZchVfhPcenLw,A-Always Towing,5801 Manchester Ave,St. Louis,MO,63110,38.6230803,-90.2841330075,4,14,1,"Roadside Assistance, Towing, Automotive",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0,6:0-23:0
yWUmFHfZEV6nnF2IFXn4nw,Prime 55 Restaurant & Lounge,6100 Delmar Blvd,St. Louis,MO,63112,38.6549453,-90.2962379,3,67,1,"Seafood, Restaurants, American (New), Vegan",,True,,,,True,True,,,"{u'valet': False, u'garage': False, u'street': True, u'lot': None, u'validated': None}",,,True,True,True,False,u'full_bar',,,"{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': True, u'intimate': None, u'romantic': None, u'classy': True, u'upscale': None}",True,,,u'average',"{u'breakfast': None, u'brunch': None, u'lunch': None, u'dinner': True, u'latenight': None, u'dessert': None}",,,,,,,,,,,,,,,,17:0-22:0,17:0-22:0,17:0-22:0,17:0-0:0,17:0-0:0,17:0-22:0
6Vnoah8cca3KC4CdSu-eaA,Bubba's Deli,3249 Ivanhoe Ave,St. Louis,MO,63139,38.604407,-90.3041,4.5,46,1,"Salad, Sandwiches, Restaurants, Delis",,True,True,,,True,True,True,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,,True,True,False,,u'none',,,,False,,,,,,,,,,,,,,,,,,,,11:0-16:0,11:0-16:0,11:0-16:0,11:0-16:0,11:0-16:0,11:0-16:0
0Zvrh9rCrThh1ZwGaTbDjA,Sound Stone Massage Spa,197 Watson Plz,St. Louis,MO,63126,38.558005,-90.388258,4.5,43,1,"Chiropractors, Hair Salons, Beauty & Spas, Day Spas, Massage, Nail Salons, Health & Medical, Hair Removal",True,True,True,2,,,,,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,,,False,,,,,,,,False,,,,False,,,,,,,,,,0:0-0:0,10:0-19:0,10:0-19:0,9:0-17:0,9:0-18:0,9:0-18:0,11:30-18:0
VMhMVzxeScpZJ8SCuzomKQ,SERVPRO of St. Louis Central,2118 59th Street,St. Louis,MO,63110,38.6165296,-90.2844,4,5,1,"Local Services, Home Services, Contractors, Carpet Cleaning, Professional Services, Damage Restoration, Office Cleaning",False,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
XAaXtqL1_HsI2t6FEIrA8Q,Living Room- Southampton,5760 Chippewa St,St. Louis,MO,63109,38.5928332,-90.2913927,4.5,5,0,"Bakeries, Sandwiches, Restaurants, Coffee & Tea, Food",,True,,2,,True,,,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",True,True,False,,,,,,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}",,,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,,,,,,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0,7:0-13:0
7WTy8p_Uc_iVDKugJc59oA,Y Kiki Divers,9922 Kennerly Rd,St. Louis,MO,63128,38.507067,-90.3765487,3.5,7,1,"Dive Shops, Shopping, Hobby Shops, Diving, Active Life, Sporting Goods",,True,True,2,,,,,,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-19:0,10:0-18:0,
2JvQsqJ5-bJGf_jVQKakDQ,Gringo Tacos + Burgers,635 Washington Ave,St. Louis,MO,63101,38.6305572048,-90.1901568674,3.5,174,0,"Mexican, Food, Burgers, Restaurants, Tacos, Nightlife, Bars",,True,True,2,False,True,True,True,u'free',"{'garage': True, 'street': True, 'validated': None, 'lot': False, 'valet': False}",True,True,True,True,True,False,u'full_bar',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",True,True,False,u'average',"{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}",,u'outdoor',"{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': None}",False,,"{'monday': True, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}",,,,,,,,,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-22:0,
j7LWdLD0_7PUvrQj4VgGEw,Advanced Auto Service,6123 Gravois Ave,St. Louis,MO,63116,38.5755564,-90.2778655,4.5,6,1,"Transmission Repair, Automotive, Oil Change Stations, Auto Repair, Tires, Smog Check Stations",,True,,,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,7:30-17:30,7:30-17:30,7:30-17:30,7:30-17:30,,
mA1v8uVY5IzQfOyVy7xbTw,Beyond Sweet,5901 Delmar Blvd,St. Louis,MO,63112,38.6548355,-90.290989,4,31,0,"Ice Cream & Frozen Yogurt, Specialty Food, Food, Desserts, Candy Stores",,True,False,1,,True,,,'free',"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,12:0-19:0,
3XirYkP9PJvVXIEDPNNXLA,Crown Candy Kitchen,1401 St Louis Ave,St. Louis,MO,63106,38.651334,-90.197874,4.5,558,1,"Specialty Food, Food, American (Traditional), Diners, Restaurants, Candy Stores",,True,True,1,,True,False,False,u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,False,False,True,False,False,u'none',True,'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}",,False,False,u'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,,,,,,,,,,,True,,,10:30-17:0,10:30-17:0,10:30-17:0,10:30-17:0,10:30-17:0,10:30-17:0,
wSQVrci13n1Wl5C5l84JfQ,City Chiropractic,2618 Hampton Ave,St. Louis,MO,63139,38.6116048032,-90.287517719,4,5,1,"Health & Medical, Chiropractors",True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,14:0-18:0,14:0-18:30,14:0-18:30,14:0-18:30,14:0-17:30,,
0z45rM2paE-O-6w63GEi6g,United Van Lines Movers -  Saint Louis,4220 Duncan Ave,St. Louis,MO,63110,38.634689,-90.250327,2,167,1,"Movers, Home Services",True,True,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,7:0-21:0,9:0-18:0,9:0-18:0
VgGITb54IIb1G0gSVt3gkw,Holiday Inn St. Louis - Forest Park,5915 Wilson Avenue,St. Louis,MO,63110,38.6181014,-90.2861385,2.5,63,0,"Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel, Resorts",,True,,2,,,,,u'free',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
QrO4-F28JK4mQLP3eDbQ0A,L'Acadiane,1915 Park Ave,St. Louis,MO,63104,38.6174084587,-90.2127941054,4,36,0,"Bars, Nightlife, Restaurants",,True,True,2,,,,,'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,True,True,False,False,False,'full_bar',,,"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}",,True,,,,,,"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",False,,,,,,,,,,,,,16:0-22:0,16:0-22:0,16:0-23:0,16:0-23:0,16:0-22:0
j0Ro8NgT6FrQBdkMu0cTkw,Dan Brassil,3353 Roger Pl,St. Louis,MO,63116,38.5966169,-90.2537215,5,15,1,"Real Estate Services, Home Services, Real Estate Agents, Real Estate",True,False,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0,8:0-22:0
TceKyXC1Nb9ProgqrlObuQ,The Selfie Room,"1424 Washington Ave, Ste 100",St. Louis,MO,63103,38.6322794,-90.200733,4,16,1,"Art Galleries, Home Services, Art Space Rentals, Session Photography, Real Estate, Adult Entertainment, Nightlife, Arts & Entertainment, Shopping, Event Planning & Services, Photographers, Venues & Event Spaces, Photography Stores & Services",True,True,True,,,,,,u'free',"{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}",True,,,,,False,,,,,,,,,,False,,,,,,,,,,,,,,0:0-0:0,15:0-20:0,15:0-20:0,15:0-20:0,15:0-21:0,12:0-21:0,12:0-20:0
4W4HZo-ejptjNqPu0KEPVw,Tropical Liqueurs,4104 Manchester Ave,St. Louis,MO,63110,38.6275959673,-90.2504955475,4,24,1,"Nightlife, Cocktail Bars, Bars",,True,,2,False,,,,u'no',"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,True,True,True,False,,'full_bar',,,"{u'divey': None, u'hipster': None, u'casual': True, u'touristy': None, u'trendy': None, u'intimate': None, u'romantic': False, u'classy': None, u'upscale': None}",,True,,,,,u'outdoor',"{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}",,,"{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}",,,,,,,,,14:0-21:0,14:0-21:0,14:0-21:0,14:0-21:0,14:0-23:0,14:0-23:0,14:0-21:0
6FvC6w810uf6O7Ocd6Wpog,Yolklore,8958 Watson Rd,St. Louis,MO,63119,38.5624086279,-90.3668923776,4.5,263,1,"Food, Restaurants, Bakeries, Coffee & Tea, Caterers, Event Planning & Services, Burgers, Breakfast & Brunch",,True,True,2,,True,False,True,u'free',"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",True,False,True,False,False,False,u'beer_and_wine',True,u'casual',"{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}",False,False,,u'average',"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': True, 'breakfast': True}",,,,,,,,False,,,,,,,0:0-0:0,,6:0-15:0,6:0-15:0,6:0-15:0,7:0-15:0,7:0-15:0
vGk91nWLR1NVQQmUVJdZVA,Grand View Apartments,300 S Grand Blvd,St. Louis,MO,63103,38.632014067,-90.2325308286,1,6,0,"Home Services, Apartments, Real Estate",False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,9:0-17:0,
8cs1vFyyrzv1j2a8gg7bvA,"James Schmidt, DDS, PC",7809 Watson Rd,St. Louis,MO,63119,38.570435,-90.3371109,2.5,8,1,"Dentists, General Dentistry, Health & Medical, Endodontists, Cosmetic Dentists, Oral Surgeons",True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,7:0-17:0,8:0-15:0,7:0-19:0,7:0-19:0,8:0-13:0,,
qvGLXBFz8aiQqIrFWSX64w,The Archive Music House & Southern Grill,706 Lafayette Ave,St. Louis,MO,63104,38.6097479,-90.200959,4.5,11,0,"Bars, Arts & Entertainment, Music Venues, American (Traditional), Nightlife, Restaurants",,True,True,1,False,True,False,True,u'free',,False,True,False,True,True,,u'full_bar',False,'casual',"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,True,,,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,u'outdoor',,True,,,,,,,,,,,,11:0-0:0,11:0-0:0,11:0-0:0,11:0-1:30,11:0-1:30,11:0-0:0
